iter	Passed	Remaining
0	177	88607
1	199	49553
2	221	36651
3	240	29859
4	260	25820
5	280	23057
6	298	21030
7	324	19939
8	343	18744
9	353	17332
10	371	16520
11	390	15883
12	404	15146
13	425	14754
14	440	14241
15	449	13595
16	479	13617
17	502	13463
18	518	13118
19	539	12940
20	568	12973
21	592	12871
22	611	12678
23	629	12490
24	645	12264
25	663	12088
26	671	11763
27	677	11426
28	697	11325
29	725	11369
30	753	11406
31	772	11292
32	784	11107
33	803	11009
34	833	11069
35	854	11010
36	872	10919
37	881	10722
38	904	10687
39	922	10613
40	941	10541
41	960	10475
42	975	10369
43	984	10206
44	1006	10175
45	1016	10030
46	1024	9875
47	1050	9891
48	1079	9936
49	1118	10064
50	1144	10074
51	1159	9990
52	1168	9853
53	1186	9796
54	1209	9783
55	1237	9809
56	1253	9739
57	1279	9746
58	1305	9757
59	1324	9715
60	1350	9722
61	1380	9750
62	1401	9719
63	1415	9641
64	1433	9595
65	1440	9469
66	1454	9401
67	1466	9318
68	1487	9292
69	1503	9234
70	1526	9226
71	1548	9206
72	1563	9147
73	1581	9105
74	1611	9132
75	1642	9164
76	1675	9204
77	1708	9246
78	1740	9273
79	1771	9302
80	1804	9332
81	1832	9340
82	1860	9345
83	1889	9355
84	1917	9361
85	1940	9343
86	1952	9269
87	1980	9273
88	2007	9270
89	2037	9282
90	2056	9244
91	2088	9262
92	2116	9263
93	2135	9225
94	2150	9167
95	2176	9160
96	2204	9159
97	2234	9165
98	2258	9147
99	2287	9150
100	2310	9127
101	2339	9127
102	2367	9125
103	2394	9116
104	2422	9112
105	2448	9100
106	2479	9107
107	2510	9110
108	2538	9106
109	2567	9103
110	2596	9100
111	2607	9031
112	2635	9026
113	2665	9023
114	2694	9021
115	2724	9019
116	2753	9012
117	2781	9003
118	2809	8996
119	2837	8986
120	2866	8979
121	2896	8974
122	2926	8969
123	2933	8895
124	2958	8875
125	2965	8802
126	2991	8785
127	3037	8827
128	3091	8890
129	3120	8882
130	3149	8872
131	3177	8858
132	3207	8849
133	3236	8839
134	3265	8830
135	3294	8816
136	3323	8804
137	3330	8735
138	3354	8713
139	3384	8701
140	3412	8688
141	3439	8672
142	3469	8660
143	3496	8643
144	3526	8633
145	3556	8622
146	3572	8578
147	3597	8557
148	3625	8539
149	3652	8523
150	3681	8508
151	3711	8496
152	3737	8477
153	3769	8469
154	3801	8462
155	3832	8451
156	3855	8423
157	3883	8405
158	3912	8391
159	3942	8377
160	3974	8369
161	4002	8349
162	4029	8330
163	4057	8313
164	4076	8276
165	4104	8257
166	4131	8237
167	4158	8217
168	4186	8199
169	4213	8179
170	4239	8156
171	4268	8139
172	4295	8119
173	4323	8099
174	4349	8078
175	4376	8057
176	4403	8035
177	4429	8013
178	4457	7993
179	4483	7970
180	4511	7951
181	4539	7931
182	4565	7909
183	4593	7888
184	4615	7858
185	4642	7837
186	4669	7816
187	4698	7797
188	4725	7775
189	4753	7756
190	4783	7738
191	4812	7720
192	4842	7702
193	4868	7679
194	4896	7658
195	4924	7637
196	4950	7613
197	4976	7591
198	5003	7568
199	5030	7545
200	5057	7523
201	5084	7501
202	5111	7478
203	5139	7457
204	5166	7434
205	5194	7413
206	5221	7391
207	5247	7367
208	5277	7347
209	5300	7319
210	5328	7297
211	5355	7275
212	5382	7252
213	5409	7229
214	5436	7206
215	5462	7182
216	5490	7160
217	5517	7137
218	5544	7114
219	5571	7091
220	5597	7067
221	5624	7042
222	5653	7023
223	5680	6999
224	5707	6976
225	5737	6956
226	5768	6937
227	5796	6915
228	5826	6895
229	5853	6871
230	5879	6847
231	5908	6825
232	5935	6801
233	5962	6777
234	5991	6756
235	6018	6732
236	6044	6708
237	6072	6684
238	6099	6661
239	6127	6637
240	6156	6616
241	6184	6593
242	6210	6568
243	6237	6544
244	6266	6521
245	6295	6500
246	6322	6476
247	6349	6451
248	6376	6427
249	6402	6402
250	6429	6378
251	6451	6349
252	6479	6326
253	6506	6301
254	6534	6277
255	6564	6256
256	6591	6232
257	6618	6208
258	6645	6183
259	6673	6160
260	6701	6136
261	6730	6113
262	6754	6086
263	6783	6064
264	6824	6051
265	6851	6027
266	6878	6002
267	6906	5979
268	6933	5954
269	6964	5932
270	6991	5907
271	7019	5884
272	7048	5861
273	7076	5836
274	7104	5812
275	7131	5788
276	7159	5763
277	7185	5738
278	7214	5714
279	7242	5690
280	7268	5664
281	7297	5641
282	7324	5616
283	7351	5591
284	7381	5568
285	7409	5543
286	7436	5519
287	7463	5494
288	7491	5469
289	7517	5443
290	7543	5417
291	7570	5392
292	7596	5367
293	7619	5338
294	7646	5313
295	7675	5289
296	7703	5265
297	7730	5240
298	7763	5218
299	7794	5196
300	7825	5173
301	7855	5150
302	7877	5121
303	7904	5096
304	7930	5070
305	7959	5046
306	7988	5021
307	8016	4997
308	8045	4972
309	8073	4948
310	8101	4923
311	8128	4897
312	8155	4872
313	8185	4848
314	8211	4822
315	8239	4797
316	8266	4772
317	8294	4747
318	8322	4722
319	8350	4696
320	8378	4672
321	8406	4646
322	8434	4621
323	8461	4596
324	8489	4571
325	8516	4545
326	8538	4517
327	8566	4492
328	8608	4474
329	8636	4449
330	8666	4424
331	8693	4399
332	8723	4375
333	8745	4346
334	8773	4321
335	8797	4293
336	8824	4268
337	8852	4243
338	8880	4217
339	8899	4187
340	8917	4157
341	8945	4132
342	8974	4107
343	9002	4082
344	9029	4056
345	9057	4031
346	9087	4006
347	9116	3981
348	9143	3956
349	9170	3930
350	9197	3904
351	9220	3876
352	9248	3851
353	9276	3825
354	9303	3799
355	9330	3774
356	9356	3747
357	9386	3723
358	9415	3697
359	9444	3672
360	9471	3647
361	9499	3621
362	9528	3595
363	9555	3570
364	9582	3544
365	9611	3518
366	9639	3493
367	9667	3467
368	9705	3445
369	9735	3420
370	9757	3392
371	9788	3367
372	9819	3343
373	9847	3317
374	9875	3291
375	9903	3265
376	9932	3240
377	9959	3214
378	9986	3188
379	10014	3162
380	10042	3136
381	10071	3111
382	10099	3085
383	10128	3059
384	10155	3033
385	10185	3008
386	10214	2982
387	10244	2957
388	10272	2931
389	10292	2902
