iter	RMSE
0	11.9561354
1	11.4953469
2	11.12941666
3	10.70125861
4	10.31072958
5	9.936669218
6	9.600306258
7	9.217775888
8	8.845878545
9	8.52805517
10	8.18732503
11	7.912066851
12	7.673250359
13	7.449714559
14	7.187013854
15	6.902451558
16	6.694212582
17	6.492773418
18	6.291683353
19	6.107220017
20	5.922680987
21	5.76811654
22	5.559324639
23	5.393753272
24	5.224754663
25	5.061556801
26	4.893978353
27	4.748096247
28	4.593594558
29	4.452075526
30	4.322224823
31	4.222096915
32	4.117800323
33	4.013090594
34	3.922794461
35	3.829683823
36	3.746934015
37	3.683695212
38	3.588937924
39	3.497290368
40	3.423154159
41	3.357245796
42	3.286689571
43	3.228077367
44	3.172648866
45	3.121554871
46	3.08368698
47	3.033845894
48	2.978848818
49	2.924170996
50	2.874192327
51	2.825772045
52	2.778165512
53	2.730207188
54	2.688968121
55	2.64805747
56	2.604815818
57	2.563993481
58	2.524713567
59	2.502862922
60	2.475231432
61	2.443305696
62	2.40631419
63	2.383947886
64	2.354959832
65	2.323359272
66	2.300720851
67	2.27870499
68	2.259965868
69	2.232900309
70	2.204341305
71	2.177553908
72	2.150261034
73	2.122683136
74	2.091705521
75	2.063386886
76	2.042477636
77	2.013804993
78	1.990702961
79	1.96281159
80	1.93999883
81	1.921285625
82	1.899330333
83	1.88642547
84	1.873962622
85	1.855158368
86	1.837958964
87	1.822130423
88	1.801610288
89	1.789048719
90	1.768388816
91	1.754195628
92	1.736335947
93	1.726240573
94	1.716529797
95	1.698048282
96	1.685234848
97	1.675210167
98	1.660195458
99	1.635597959
100	1.623977143
101	1.60732576
102	1.605852518
103	1.591624768
104	1.570245616
105	1.562530268
106	1.551285725
107	1.539068935
108	1.525688882
109	1.510843992
110	1.49843841
111	1.48699706
112	1.476262835
113	1.458622704
114	1.441658839
115	1.429704926
116	1.414744901
117	1.400750361
118	1.393320199
119	1.379884417
120	1.369817198
121	1.363174404
122	1.350653918
123	1.341496344
124	1.330623362
125	1.318788627
126	1.303657285
127	1.294774827
128	1.28502218
129	1.271605709
130	1.271118754
131	1.259661232
132	1.246128135
133	1.23317289
134	1.219870984
135	1.213891082
136	1.206026669
137	1.196216343
138	1.188324137
139	1.185592884
140	1.1762625
141	1.16234455
142	1.151048855
143	1.140289493
144	1.133128897
145	1.12384214
146	1.113714173
147	1.106102529
148	1.094438852
149	1.087812283
150	1.078806931
151	1.068164307
152	1.058514617
153	1.050405305
154	1.043310136
155	1.033726097
156	1.027074324
157	1.018383206
158	1.011136939
159	1.003235276
160	0.998080259
161	0.9905098788
162	0.9832203001
163	0.9761682044
164	0.9689733928
165	0.9610492365
166	0.952430714
167	0.9441090461
168	0.9354959567
169	0.9261510647
170	0.9170367585
171	0.9112589626
172	0.9045865624
173	0.902513367
174	0.8947199318
175	0.8875146888
176	0.8809028569
177	0.8730525629
178	0.8672809515
179	0.8622518231
180	0.8538479023
181	0.8435238402
182	0.8381869319
183	0.8323606064
184	0.8265608475
185	0.8198832602
186	0.8124530723
187	0.8058538377
188	0.8004336445
189	0.7922125799
190	0.7861641234
191	0.7801454065
192	0.7713992939
193	0.7638315671
194	0.7588471993
195	0.7523357519
196	0.7460979716
197	0.7409075527
198	0.7312081944
