iter	Passed	Remaining
0	138	68979
1	157	39206
2	206	34230
3	216	26856
4	229	22724
5	242	19955
6	271	19111
7	291	17903
8	304	16604
9	335	16460
10	355	15800
11	363	14794
12	384	14387
13	406	14109
14	425	13773
15	439	13282
16	447	12704
17	479	12847
18	512	12984
19	547	13147
20	584	13329
21	618	13441
22	642	13316
23	677	13438
24	714	13567
25	766	13967
26	784	13749
27	813	13707
28	836	13581
29	849	13316
30	867	13117
31	877	12827
32	911	12893
33	929	12743
34	954	12681
35	987	12730
36	1010	12646
37	1017	12371
38	1048	12394
39	1060	12198
40	1096	12276
41	1131	12342
42	1151	12237
43	1181	12249
44	1216	12305
45	1253	12374
46	1290	12442
47	1325	12485
48	1363	12553
49	1401	12609
50	1435	12635
51	1469	12659
52	1505	12694
53	1540	12724
54	1573	12734
55	1613	12792
56	1650	12828
57	1676	12779
58	1710	12787
59	1722	12634
60	1754	12630
61	1805	12754
62	1831	12707
63	1852	12623
64	1887	12628
65	1921	12634
66	1955	12636
67	1989	12639
68	2013	12577
69	2049	12591
70	2083	12590
71	2117	12586
72	2149	12571
73	2186	12585
74	2221	12585
75	2258	12602
76	2296	12614
77	2332	12620
78	2366	12612
79	2405	12631
80	2442	12637
81	2478	12635
82	2515	12639
83	2551	12635
84	2586	12627
85	2622	12625
86	2661	12636
87	2696	12624
88	2731	12615
89	2751	12533
90	2783	12509
91	2809	12459
92	2842	12439
93	2871	12400
94	2897	12351
95	2930	12333
96	2965	12319
97	2987	12254
98	3024	12250
99	3058	12232
100	3095	12229
101	3129	12211
102	3145	12124
103	3178	12102
104	3212	12084
105	3245	12063
106	3284	12065
107	3320	12052
108	3357	12043
109	3395	12039
110	3432	12030
111	3467	12013
112	3505	12004
113	3540	11988
114	3574	11966
115	3609	11948
116	3650	11950
117	3685	11932
118	3721	11914
119	3756	11895
120	3794	11884
121	3845	11915
122	3880	11894
123	3916	11875
124	3948	11844
125	3980	11814
126	4015	11792
127	4050	11772
128	4085	11750
129	4119	11725
130	4134	11646
131	4167	11618
132	4203	11597
133	4235	11568
134	4270	11545
135	4304	11521
136	4346	11516
137	4383	11497
138	4418	11476
139	4457	11461
140	4492	11438
141	4529	11420
142	4562	11389
143	4596	11364
144	4630	11337
145	4667	11316
146	4705	11299
147	4740	11275
148	4778	11256
149	4814	11234
150	4851	11212
151	4885	11184
152	4918	11155
153	4954	11132
154	4993	11113
155	5028	11088
156	5062	11059
157	5097	11033
158	5135	11013
159	5170	10987
160	5204	10959
161	5241	10936
162	5276	10909
163	5311	10881
164	5348	10858
165	5383	10831
166	5418	10805
167	5457	10785
168	5491	10756
169	5526	10728
170	5561	10699
171	5594	10668
172	5632	10647
173	5666	10617
174	5705	10595
175	5740	10568
176	5777	10543
177	5816	10522
178	5851	10493
179	5888	10468
180	5924	10441
181	5960	10414
182	6009	10410
183	6047	10385
184	6082	10357
185	6121	10334
186	6160	10311
187	6199	10289
188	6236	10261
189	6269	10229
190	6304	10198
191	6339	10169
192	6373	10138
193	6409	10109
194	6448	10085
195	6481	10053
196	6517	10024
197	6554	9997
198	6588	9964
199	6621	9931
200	6653	9897
201	6688	9867
202	6727	9842
203	6761	9811
204	6796	9780
205	6831	9749
206	6867	9721
207	6904	9692
208	6938	9660
209	6970	9626
210	7010	9601
211	7041	9566
212	7075	9533
213	7108	9499
214	7141	9467
215	7176	9435
216	7210	9403
217	7246	9374
218	7279	9340
219	7313	9308
220	7346	9273
221	7381	9243
222	7415	9211
223	7451	9180
224	7488	9152
225	7537	9138
226	7570	9104
227	7610	9078
228	7644	9046
229	7679	9015
230	7713	8982
231	7751	8954
232	7878	9027
233	7918	9001
234	7954	8969
235	7992	8940
236	8029	8910
237	8063	8876
238	8095	8841
239	8130	8808
240	8166	8776
241	8200	8742
242	8236	8711
243	8275	8682
244	8309	8648
245	8352	8623
246	8386	8590
247	8421	8556
248	8457	8525
249	8548	8548
250	8595	8526
251	8631	8494
252	8667	8462
253	8702	8428
254	8736	8394
255	8780	8368
256	8824	8343
257	8862	8312
258	8897	8279
259	8934	8247
260	8971	8215
261	9011	8186
262	9050	8156
263	9086	8123
264	9122	8089
265	9159	8057
266	9213	8040
267	9237	7996
268	9271	7962
269	9306	7927
270	9342	7894
271	9380	7862
272	9420	7833
273	9459	7802
274	9488	7762
275	9524	7730
276	9562	7698
277	9600	7666
278	9635	7632
279	9670	7598
280	9709	7567
281	9748	7535
282	9789	7506
283	9827	7474
284	9864	7441
285	9901	7408
286	9938	7376
287	9975	7343
288	10016	7312
289	10052	7279
290	10093	7249
291	10131	7216
292	10170	7185
293	10207	7152
294	10247	7121
295	10287	7089
296	10324	7057
297	10361	7023
298	10399	6990
299	10436	6957
300	10473	6924
301	10509	6890
302	10548	6858
303	10585	6824
304	10623	6791
305	10662	6759
306	10704	6729
307	10746	6699
308	10791	6670
309	10841	6644
