iter	Passed	Remaining
0	153	76567
1	215	53748
2	244	40430
3	281	34859
4	295	29227
5	329	27087
6	351	24772
7	369	22732
8	409	22318
9	451	22109
10	491	21850
11	533	21685
12	557	20866
13	597	20724
14	621	20098
15	634	19191
16	654	18602
17	682	18266
18	719	18206
19	751	18038
20	778	17763
21	797	17320
22	813	16879
23	852	16910
24	867	16481
25	893	16280
26	934	16369
27	958	16149
28	974	15825
29	1006	15762
30	1023	15483
31	1047	15322
32	1084	15351
33	1123	15393
34	1151	15294
35	1188	15321
36	1215	15211
37	1252	15233
38	1268	14988
39	1299	14938
40	1336	14966
41	1379	15040
42	1403	14911
43	1420	14716
44	1455	14719
45	1494	14750
46	1509	14544
47	1546	14564
48	1586	14603
49	1624	14621
50	1664	14656
51	1703	14680
52	1744	14715
53	1786	14752
54	1825	14770
55	1864	14782
56	1902	14783
57	1941	14798
58	1970	14730
59	2008	14730
60	2046	14730
61	2086	14736
62	2130	14780
63	2171	14795
64	2211	14801
65	2254	14822
66	2294	14831
67	2335	14838
68	2375	14838
69	2416	14843
70	2457	14850
71	2494	14831
72	2528	14791
73	2568	14788
74	2612	14804
75	2654	14810
76	2700	14835
77	2739	14823
78	2786	14848
79	2828	14849
80	2872	14859
81	2912	14848
82	2956	14855
83	2997	14842
84	3037	14830
85	3079	14822
86	3117	14801
87	3161	14803
88	3203	14794
89	3247	14792
90	3291	14792
91	3331	14775
92	3373	14765
93	3419	14770
94	3456	14735
95	3498	14722
96	3541	14714
97	3585	14709
98	3602	14590
99	3643	14573
100	3686	14561
101	3733	14566
102	3768	14526
103	3810	14508
104	3852	14491
105	3882	14431
106	3928	14430
107	3971	14415
108	3991	14317
109	4033	14299
110	4061	14232
111	4078	14127
112	4104	14058
113	4145	14036
114	4164	13942
115	4203	13914
116	4246	13901
117	4298	13914
118	4356	13947
119	4402	13942
120	4423	13856
121	4466	13839
122	4508	13820
123	4525	13721
124	4564	13694
125	4607	13675
126	4627	13589
127	4670	13574
128	4712	13552
129	4737	13483
130	4779	13463
131	4821	13442
132	4870	13439
133	4894	13369
134	4936	13347
135	4978	13324
136	5021	13305
137	5040	13223
138	5082	13199
139	5123	13175
140	5167	13158
141	5210	13135
142	5255	13121
143	5305	13116
144	5350	13099
145	5393	13077
146	5436	13055
147	5476	13025
148	5506	12971
149	5545	12940
150	5588	12916
151	5609	12842
152	5632	12773
153	5673	12747
154	5703	12695
155	5744	12666
156	5786	12641
157	5830	12619
158	5872	12594
159	5915	12571
160	5957	12543
161	6000	12519
162	6043	12494
163	6089	12475
164	6133	12453
165	6181	12436
166	6224	12411
167	6268	12387
168	6314	12368
169	6359	12344
170	6404	12322
171	6438	12277
172	6484	12256
173	6525	12226
174	6569	12200
175	6610	12169
176	6657	12148
177	6699	12118
178	6743	12093
179	6785	12063
180	6831	12039
181	6876	12015
182	6917	11982
183	6959	11952
184	7004	11927
185	7045	11894
186	7090	11867
187	7133	11838
188	7175	11806
189	7218	11777
190	7260	11746
191	7301	11712
192	7344	11682
193	7386	11651
194	7430	11622
195	7475	11594
196	7517	11563
197	7562	11535
198	7604	11502
199	7646	11470
200	7686	11433
201	7737	11415
202	7792	11401
203	7840	11377
204	7895	11361
205	7948	11343
206	8000	11324
207	8041	11289
208	8087	11260
209	8137	11237
210	8179	11203
211	8228	11177
212	8274	11149
213	8320	11120
214	8363	11086
215	8405	11051
216	8447	11016
217	8487	10978
218	8527	10941
219	8568	10905
220	8610	10870
221	8651	10834
222	8694	10799
223	8738	10767
224	8780	10731
225	8825	10699
226	8868	10665
227	8908	10627
228	8953	10595
229	8992	10556
230	9040	10528
231	9082	10491
232	9123	10455
233	9167	10420
234	9206	10382
235	9250	10347
236	9290	10309
237	9332	10273
238	9376	10239
239	9415	10200
240	9458	10164
241	9502	10130
242	9544	10094
243	9586	10058
244	9630	10023
245	9669	9984
246	9711	9947
247	9752	9909
248	9794	9872
249	9834	9834
250	9876	9797
251	9922	9764
252	9951	9715
253	9993	9678
254	10034	9640
255	10068	9596
256	10112	9561
257	10154	9524
258	10195	9486
259	10242	9454
260	10295	9427
261	10336	9389
262	10380	9353
263	10423	9317
264	10462	9278
265	10504	9240
266	10544	9201
267	10587	9165
268	10631	9129
269	10674	9093
270	10720	9059
271	10762	9021
272	10807	8986
273	10848	8947
274	10894	8913
275	10935	8875
276	10980	8840
277	11022	8801
278	11064	8764
279	11105	8725
280	11147	8687
281	11188	8649
282	11234	8614
283	11275	8575
284	11319	8539
285	11363	8502
286	11405	8464
287	11449	8428
288	11495	8392
289	11537	8354
290	11584	8319
291	11644	8294
292	11690	8259
293	11731	8220
294	11773	8181
295	11813	8141
296	11854	8102
297	11899	8066
298	11942	8028
299	11982	7988
300	12023	7949
301	12065	7910
302	12106	7871
303	12144	7830
304	12187	7792
305	12227	7752
306	12274	7716
307	12318	7679
308	12360	7640
