Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,Within the next few days,I'm ready to hire immediately,We have all that’s required
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,Fence has broken and need new gate
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,One side of garden fencing remove and re build.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,"Replace broken fence with concrete posts, base boards and cladded timber"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Apartment or flat,Repair of the existing gate,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),More than 300 feet (over 90 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Need privets removing and fence installed
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Brick,6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,"Back wall, and garden path seperation"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,One gate post and fence posts
