iter	RMSE
0	1.789646325
1	1.724088632
2	1.661560788
3	1.601025226
4	1.54503893
5	1.493286213
6	1.444082717
7	1.398240912
8	1.357595255
9	1.315018867
10	1.277144376
11	1.241027403
12	1.207526292
13	1.176190461
14	1.146374095
15	1.10617482
16	1.069450731
17	1.037336861
18	1.005318548
19	0.9731063667
20	0.9448078043
21	0.915414436
22	0.8892700316
23	0.8659414423
24	0.8421945086
25	0.8167867882
26	0.7923077063
27	0.7693444657
28	0.7465725933
29	0.7251931683
30	0.7056980561
31	0.687015398
32	0.6688814241
33	0.6516213051
34	0.6362689759
35	0.6224576282
36	0.6081380009
37	0.5943717878
38	0.5814285661
39	0.5696304585
40	0.5593568961
41	0.5488253011
42	0.5389574598
43	0.5301923118
44	0.5208995521
45	0.5118600992
46	0.5031345825
47	0.4947793752
48	0.4873947836
49	0.4832542005
50	0.4774045809
51	0.4713655759
52	0.4658434537
53	0.4602167088
54	0.4546884432
55	0.4498848137
56	0.4448864196
57	0.4405525483
58	0.4370352497
59	0.4332633251
60	0.4298805447
61	0.4264300745
62	0.4229160929
63	0.4194923855
64	0.4159859215
65	0.4130123908
66	0.4099774951
67	0.407465476
68	0.4024083812
69	0.3984632981
70	0.3948330843
71	0.3908027617
72	0.387768646
73	0.3843045158
74	0.3818932498
75	0.3797095564
76	0.3776804825
77	0.3755223071
78	0.3733928844
79	0.3701523965
80	0.3684249667
81	0.3661379086
82	0.3651774735
83	0.3624144988
84	0.3600498072
85	0.3578989564
86	0.3555156008
87	0.354031108
88	0.3513703423
89	0.3482002068
90	0.3470735143
91	0.3452492433
92	0.3437638629
93	0.3424629579
94	0.3410542994
95	0.3403929245
96	0.3374883196
97	0.3368297004
98	0.3347095004
99	0.3336963208
100	0.3313200027
101	0.3288118743
102	0.3270886894
103	0.3261369504
104	0.3248049932
105	0.3229967497
106	0.3210767635
107	0.3205329843
108	0.3202739889
109	0.3186252322
110	0.3170393915
111	0.3169624961
112	0.3169608217
113	0.3155976284
114	0.3155960581
115	0.3155408131
116	0.3135168049
117	0.3125066194
118	0.3119911359
119	0.3100907937
120	0.3084062922
121	0.3084040331
122	0.3076256341
123	0.3070057816
124	0.3058168382
125	0.3050655081
126	0.3040358333
127	0.304034019
128	0.3033976329
129	0.3025742178
130	0.302394371
131	0.3008668118
132	0.3001670109
133	0.2989461086
134	0.2988834369
135	0.2985897755
136	0.2973885662
137	0.2972419963
138	0.2970796671
139	0.2965033164
140	0.2944625778
141	0.293736622
142	0.2919648262
143	0.2915513941
144	0.2912613872
145	0.2908299221
146	0.2903958253
147	0.2902531734
148	0.2892939111
149	0.2889686714
150	0.2884141276
151	0.2882816707
152	0.2877362041
153	0.2874738626
154	0.2871763602
155	0.2854095001
156	0.2850053784
157	0.2848880607
158	0.2847805124
159	0.2840465061
160	0.2835720077
161	0.2835716561
162	0.2832743906
163	0.281925497
164	0.2814009927
165	0.2806740335
166	0.2804315652
167	0.2801094973
168	0.2801091695
169	0.2798269974
170	0.2794377132
171	0.2792090226
172	0.2780842243
173	0.2774187607
174	0.2767211209
175	0.2759573644
176	0.2750712544
177	0.2748464306
178	0.2747555409
179	0.2746642254
180	0.2746188706
181	0.2740137487
182	0.2738369967
183	0.2736757506
184	0.2727062964
185	0.2713945422
186	0.2712079067
187	0.269946331
188	0.2687319004
189	0.2684276326
190	0.2682606795
191	0.2680713369
192	0.2676987294
193	0.2672028259
194	0.2662206932
195	0.2655788198
196	0.2649798171
197	0.264896285
198	0.2647909991
199	0.2640542348
200	0.2639034503
201	0.2633539832
202	0.2627031759
203	0.2624098422
204	0.2618691458
205	0.2617378171
206	0.2611630132
207	0.2610703738
208	0.2603321251
209	0.2601520167
210	0.2596832334
211	0.2588716477
212	0.2586299052
213	0.2581577677
214	0.2580872426
215	0.2576327178
216	0.2574829504
217	0.2568441178
218	0.2566843765
219	0.2552155171
