iter	Passed	Remaining
0	227	113640
1	309	77102
2	390	64619
3	442	54858
4	496	49123
5	560	46177
6	609	42922
7	656	40363
8	676	36911
9	720	35300
10	770	34258
11	836	34006
12	901	33759
13	960	33352
14	1025	33151
15	1100	33286
16	1170	33263
17	1219	32649
18	1302	32977
19	1391	33402
20	1453	33145
21	1528	33200
22	1602	33237
23	1668	33098
24	1740	33071
25	1816	33118
26	1891	33137
27	1948	32839
28	2020	32814
29	2076	32538
30	2131	32248
31	2204	32246
32	2273	32166
33	2351	32228
34	2436	32373
35	2508	32332
36	2573	32206
37	2656	32301
38	2735	32331
39	2809	32305
40	2855	31969
41	2908	31714
42	2954	31400
43	3001	31105
44	3061	30955
45	3115	30745
46	3180	30652
47	3246	30568
48	3301	30384
49	3326	29940
50	3362	29598
51	3426	29516
52	3475	29314
53	3558	29388
54	3634	29408
55	3714	29453
56	3782	29393
57	3844	29297
58	3930	29378
59	4006	29384
60	4073	29317
61	4120	29112
62	4187	29047
63	4236	28861
64	4295	28748
65	4363	28693
66	4428	28618
67	4477	28445
68	4528	28287
69	4591	28206
70	4657	28143
71	4731	28124
72	4806	28114
73	4857	27965
74	4908	27815
75	4969	27726
76	5022	27590
77	5073	27448
78	5141	27400
79	5205	27328
80	5285	27338
81	5359	27318
82	5400	27130
83	5445	26970
84	5509	26898
85	5579	26858
86	5638	26768
87	5683	26610
88	5736	26490
89	5831	26566
90	5900	26519
91	5939	26339
92	5986	26198
93	6035	26069
94	6093	25978
95	6150	25882
96	6223	25856
97	6292	25813
98	6335	25662
99	6389	25559
100	6456	25506
101	6528	25474
102	6581	25368
103	6630	25246
104	6680	25129
105	6744	25069
106	6797	24966
107	6873	24947
108	6905	24770
109	6956	24662
110	7023	24613
111	7044	24402
112	7053	24156
113	7096	24029
114	7109	23801
115	7133	23614
116	7177	23496
117	7225	23391
118	7273	23288
119	7320	23180
120	7367	23076
121	7384	22881
122	7429	22773
123	7474	22663
124	7516	22550
125	7566	22458
126	7610	22353
127	7632	22180
128	7675	22073
129	7723	21981
130	7744	21813
131	7784	21702
132	7932	21889
133	8079	22067
134	8188	22138
135	8237	22046
136	8281	21941
137	8330	21853
138	8343	21669
139	8391	21577
140	8439	21487
141	8486	21396
142	8533	21303
143	8586	21226
144	8631	21131
145	8678	21042
146	8728	20960
147	8754	20821
148	8796	20720
149	8830	20603
150	8873	20507
151	8897	20371
152	8937	20269
153	8987	20191
154	9041	20123
155	9092	20049
156	9150	19990
157	9176	19863
158	9217	19769
159	9285	19730
160	9351	19690
161	9369	19548
162	9424	19485
163	9495	19454
164	9545	19379
165	9594	19305
166	9669	19281
167	9743	19255
168	9761	19118
169	9832	19086
170	9897	19042
171	9974	19021
172	10036	18970
173	10091	18907
174	10157	18863
175	10218	18811
176	10282	18763
177	10347	18719
178	10412	18673
179	10434	18550
180	10461	18436
181	10533	18404
182	10603	18367
183	10649	18288
184	10702	18223
185	10762	18168
186	10838	18141
187	10910	18107
188	10963	18040
189	11043	18018
190	11100	17957
191	11151	17889
192	11207	17827
193	11273	17782
194	11342	17741
195	11397	17678
196	11448	17608
197	11494	17531
198	11544	17461
199	11624	17436
200	11678	17372
201	11739	17318
202	11805	17272
203	11862	17212
204	11930	17167
205	11997	17122
206	12057	17066
207	12121	17016
208	12191	16975
209	12265	16938
210	12317	16871
211	12371	16805
212	12433	16753
213	12488	16690
214	12566	16658
215	12628	16603
216	12704	16568
217	12749	16492
218	12805	16431
219	12855	16362
220	12910	16298
221	12970	16242
222	13022	16176
223	13088	16127
224	13156	16080
225	13231	16042
226	13301	15997
227	13346	15922
228	13389	15845
229	13444	15782
230	13499	15720
231	13548	15650
232	13609	15594
233	13664	15532
234	13728	15481
235	13794	15430
236	13853	15373
237	13905	15308
238	13953	15237
239	14014	15182
240	14065	15115
241	14123	15057
242	14180	14997
243	14258	14960
244	14321	14906
245	14370	14838
246	14420	14771
247	14472	14706
248	14521	14638
249	14564	14564
250	14621	14505
251	14699	14466
252	14752	14402
253	14804	14338
254	14873	14289
255	14930	14230
256	14998	14181
257	15054	14120
258	15112	14062
259	15165	13998
260	15213	13930
261	15269	13870
262	15318	13803
263	15362	13733
264	15421	13676
265	15472	13611
266	15521	13545
267	15566	13475
268	15611	13406
269	15661	13341
270	15711	13276
271	15765	13215
272	15826	13160
273	15886	13103
274	15953	13052
275	16023	13004
276	16089	12953
277	16152	12898
278	16223	12851
279	16289	12798
280	16360	12750
281	16443	12711
282	16506	12656
283	16581	12611
284	16645	12557
285	16698	12494
286	16751	12432
287	16791	12360
288	16842	12297
289	16898	12236
290	16970	12188
291	17027	12129
292	17081	12068
293	17132	12004
294	17178	11937
295	17238	11880
296	17304	11827
297	17382	11782
298	17450	11731
299	17529	11686
300	17584	11625
301	17659	11578
302	17712	11516
303	17762	11452
304	17810	11387
305	17858	11322
306	17914	11261
307	17981	11209
308	18037	11149
309	18106	11097
310	18178	11047
311	18257	11001
312	18320	10945
313	18385	10891
314	18463	10843
315	18515	10781
316	18578	10725
317	18660	10680
318	18711	10616
319	18756	10550
320	18814	10491
321	18873	10433
322	18920	10368
323	18971	10305
324	19029	10246
325	19087	10187
326	19150	10131
327	19221	10079
328	19293	10027
329	19361	9974
330	19433	9922
331	19506	9870
332	19573	9816
333	19654	9768
334	19712	9709
335	19768	9648
336	19824	9588
337	19880	9528
338	19932	9466
339	19977	9400
340	20020	9335
341	20072	9273
342	20134	9216
343	20197	9159
344	20261	9103
345	20321	9045
346	20392	8991
347	20449	8932
348	20495	8867
349	20545	8805
350	20589	8740
351	20631	8674
352	20680	8612
353	20731	8550
354	20787	8490
355	20849	8433
356	20934	8385
357	20991	8326
358	21037	8262
359	21079	8197
360	21131	8136
361	21179	8073
362	21239	8015
363	21297	7957
364	21355	7898
365	21431	7846
366	21502	7792
367	21564	7734
368	21608	7671
369	21654	7608
370	21724	7553
371	21806	7503
372	21888	7452
373	21960	7398
374	22020	7340
375	22102	7289
376	22176	7235
377	22254	7182
378	22342	7133
379	22415	7078
380	22486	7023
381	22561	6969
382	22625	6911
383	22681	6851
384	22734	6790
385	22785	6729
386	22843	6670
387	22914	6614
388	22992	6560
389	23054	6502
390	23136	6449
391	23197	6391
392	23254	6331
393	23308	6270
394	23370	6212
395	23437	6155
396	23495	6095
397	23551	6035
398	23635	5982
399	23704	5926
400	23772	5869
401	23828	5808
402	23884	5748
403	23947	5690
404	24023	5635
405	24082	5575
406	24157	5519
407	24224	5462
408	24281	5402
409	24327	5340
410	24386	5280
411	24446	5221
412	24500	5161
413	24564	5102
414	24624	5043
415	24700	4987
416	24833	4942
417	24890	4882
418	24936	4820
419	24982	4758
420	25035	4697
421	25088	4637
422	25134	4575
423	25180	4513
424	25229	4452
425	25279	4391
426	25331	4330
427	25394	4271
428	25450	4212
429	25502	4151
430	25575	4094
431	25623	4033
432	25665	3971
433	25714	3910
434	25760	3849
435	25819	3790
436	25882	3731
437	25954	3673
438	26023	3616
439	26090	3557
440	26169	3501
441	26244	3443
442	26317	3386
443	26397	3329
444	26464	3270
445	26532	3212
446	26592	3153
447	26664	3094
448	26728	3035
449	26774	2974
450	26830	2915
451	26883	2854
452	26925	2793
453	26981	2733
454	27048	2675
455	27100	2614
456	27150	2554
457	27200	2494
458	27243	2433
459	27312	2374
460	27385	2316
461	27461	2258
462	27542	2201
463	27613	2142
464	27685	2083
465	27750	2024
466	27802	1964
467	27854	1904
468	27903	1844
469	27945	1783
470	28014	1724
471	28073	1665
472	28122	1605
473	28166	1545
474	28237	1486
475	28295	1426
476	28361	1367
477	28432	1308
478	28509	1249
479	28590	1191
480	28665	1132
481	28732	1072
482	28782	1013
483	28849	953
484	28924	894
485	28983	834
486	29048	775
487	29128	716
488	29200	656
489	29270	597
490	29348	537
491	29414	478
492	29483	418
493	29534	358
494	29582	298
495	29652	239
496	29721	179
497	29789	119
498	29862	59
499	29931	0
