iter	RMSE
0	1.07406139
1	1.058524341
2	1.040555187
3	1.027939524
4	1.017011994
5	1.00321986
6	0.9905530336
7	0.9785775402
8	0.9675662221
9	0.9607610418
10	0.9529226837
11	0.9396195014
12	0.9275994457
13	0.9211571646
14	0.9126700195
15	0.9002042643
16	0.8924637814
17	0.8867838088
18	0.8795703387
19	0.8703115514
20	0.8657313555
21	0.8550680427
22	0.8467212019
23	0.8414391986
24	0.8336176174
25	0.8275851307
26	0.8194250508
27	0.8124287199
28	0.8067581967
29	0.8021482686
30	0.7965879664
31	0.7927704764
32	0.7868303275
33	0.7802072855
34	0.7756463167
35	0.7717591586
36	0.7650889438
37	0.7614584977
38	0.7591372348
39	0.7519788852
40	0.747317613
41	0.7428614795
42	0.7373668041
43	0.7328351623
44	0.7302072742
45	0.726643938
46	0.7236154876
47	0.7200633236
48	0.7173620145
49	0.7137657546
50	0.7100763943
51	0.7084311738
52	0.7054744402
53	0.7019007478
54	0.7008051911
55	0.6973897645
56	0.6960373962
57	0.6932523604
58	0.6895044624
59	0.6877885962
60	0.686149247
61	0.683031588
62	0.6800317441
63	0.6772918021
64	0.6751023343
65	0.6707322287
66	0.6666876969
67	0.6649581955
68	0.6635250113
69	0.6619743104
70	0.6594729664
71	0.6559843443
72	0.6542436672
73	0.6521529024
74	0.6520858146
75	0.6498214727
76	0.6483977272
77	0.645743356
78	0.6406480625
79	0.6394807603
80	0.6370170147
81	0.6361277118
82	0.6317459057
83	0.6301045358
84	0.6269079765
85	0.6249004529
86	0.6218164447
87	0.6214123784
88	0.6181571347
89	0.6170245294
90	0.6147777857
91	0.6129125036
92	0.6112762015
93	0.6101119156
94	0.6060532519
95	0.6024843496
96	0.5989037559
97	0.5966808255
98	0.5960680366
99	0.5920435744
100	0.5902180763
101	0.588110415
102	0.5862405258
103	0.5840006949
104	0.5814792625
105	0.5770605939
106	0.5753486356
107	0.5749942636
108	0.5708567088
109	0.5669176126
110	0.566110975
111	0.5637836565
112	0.562266953
113	0.5586286377
114	0.555800085
115	0.5535393123
116	0.5500805986
117	0.5468153855
118	0.5457649546
119	0.5425568835
120	0.5417969746
121	0.5395096404
122	0.5358583583
123	0.5355386885
124	0.5353506226
125	0.5335349319
126	0.5313672561
127	0.5297602926
128	0.5274387906
129	0.524761791
130	0.5225800306
131	0.5198978147
132	0.5190932794
133	0.5169518874
134	0.5166471243
135	0.5141630722
136	0.5126575272
137	0.5114599743
138	0.5112808806
139	0.5100205412
140	0.507426541
141	0.5053632669
142	0.5036764657
143	0.5033776226
144	0.50293719
145	0.4995040875
146	0.4989551941
147	0.4981889958
