iter	Passed	Remaining
0	206	103231
1	270	67362
2	295	48929
3	310	38451
4	356	35330
5	381	31443
6	425	29975
7	476	29323
8	497	27150
9	507	24870
10	549	24406
11	597	24287
12	643	24090
13	686	23833
14	710	22980
15	751	22747
16	786	22357
17	800	21438
18	844	21386
19	888	21319
20	929	21198
21	973	21150
22	1035	21482
23	1061	21053
24	1103	20965
25	1145	20874
26	1185	20770
27	1229	20734
28	1273	20686
29	1320	20685
30	1361	20594
31	1390	20330
32	1429	20225
33	1474	20203
34	1522	20224
35	1571	20251
36	1619	20268
37	1669	20291
38	1692	20006
39	1741	20030
40	1790	20050
41	1841	20078
42	1891	20103
43	1941	20117
44	1968	19904
45	2016	19901
46	2066	19922
47	2116	19931
48	2163	19914
49	2212	19909
50	2259	19890
51	2288	19714
52	2345	19784
53	2397	19801
54	2414	19537
55	2459	19502
56	2482	19294
57	2531	19289
58	2579	19282
59	2628	19278
60	2646	19049
61	2688	18995
62	2723	18891
63	2766	18845
64	2811	18816
65	2856	18781
66	2903	18766
67	2946	18720
68	2988	18667
69	3029	18610
70	3059	18484
71	3100	18429
72	3142	18380
73	3183	18327
74	3194	18101
75	3225	17997
76	3266	17942
77	3308	17899
78	3349	17850
79	3389	17792
80	3429	17741
81	3464	17662
82	3506	17617
83	3546	17565
84	3588	17520
85	3628	17467
86	3669	17418
87	3687	17264
88	3730	17225
89	3772	17185
90	3815	17148
91	3857	17106
92	3899	17063
93	3949	17056
94	3990	17011
95	4032	16969
96	4074	16926
97	4116	16886
98	4131	16736
99	4170	16681
100	4215	16655
101	4257	16612
102	4299	16571
103	4318	16443
104	4436	16690
105	4604	17113
106	4714	17317
107	4762	17284
108	4806	17242
109	4850	17196
110	4892	17146
111	4936	17100
112	4978	17051
113	5027	17022
114	5072	16982
115	5115	16934
116	5161	16897
117	5207	16856
118	5253	16819
119	5300	16783
120	5346	16747
121	5390	16701
122	5432	16650
123	5475	16603
124	5490	16471
125	5527	16405
126	5570	16361
127	5610	16304
128	5654	16263
129	5697	16216
130	5740	16169
131	5783	16123
132	5823	16070
133	5864	16017
134	5904	15962
135	5943	15906
136	5984	15855
137	6010	15767
138	6031	15664
139	6070	15609
140	6112	15564
141	6150	15506
142	6191	15456
143	6231	15404
144	6338	15518
145	6377	15463
146	6417	15410
147	6458	15360
