iter	RMSE
0	2.875477676
1	2.752396671
2	2.632893609
3	2.525371504
4	2.423400342
5	2.32478342
6	2.23523874
7	2.147894235
8	2.064895523
9	1.984384545
10	1.914834127
11	1.844670449
12	1.775471119
13	1.712035037
14	1.653773018
15	1.597403819
16	1.552699424
17	1.498381481
18	1.451148403
19	1.407206664
20	1.3601347
21	1.315380506
22	1.27217523
23	1.236494355
24	1.201346173
25	1.167508432
26	1.136369276
27	1.104293264
28	1.075344642
29	1.047193292
30	1.024252831
31	1.002314584
32	0.9776189685
33	0.9542868981
34	0.9338861543
35	0.9123619201
36	0.8932005622
37	0.8770357894
38	0.8601491588
39	0.8444348353
40	0.8307417001
41	0.8166931333
42	0.8034266154
43	0.79074081
44	0.7790696344
45	0.7677132561
46	0.7570619032
47	0.7485190389
48	0.7400312744
49	0.7285157766
50	0.7203393324
51	0.7120775909
52	0.7047689817
53	0.6969601871
54	0.6896799684
55	0.6830370703
56	0.6777183113
57	0.6717027502
58	0.6667416598
59	0.6620911138
60	0.6575184673
61	0.6530524769
62	0.648709967
63	0.6458744452
64	0.6419980219
65	0.6382524062
66	0.6339812502
67	0.6309017867
68	0.6272293541
69	0.6235032928
70	0.6205870968
71	0.6164575232
72	0.6141986298
73	0.6105140948
74	0.6076529644
75	0.6055644773
76	0.6037909245
77	0.5990956317
78	0.597681824
79	0.5950933245
80	0.5935308446
81	0.5915367417
82	0.5901894551
83	0.5883733063
84	0.5879860036
85	0.5848839555
86	0.5822415717
87	0.5822383507
88	0.5822354399
89	0.5804542442
90	0.5786569085
91	0.5771681061
92	0.576707167
93	0.5755200548
94	0.5739398751
95	0.5727517238
96	0.5714909488
97	0.5703134146
98	0.5690817121
99	0.5677082472
100	0.5667215564
101	0.5645211679
102	0.5636256088
103	0.5625314431
104	0.5610301219
105	0.5587889767
106	0.5568552148
107	0.5553887427
108	0.5545659716
109	0.5535645223
110	0.5527998809
111	0.5516376559
112	0.5504593916
113	0.5486899407
114	0.5477134539
115	0.5460123664
116	0.5452447892
117	0.5446640559
118	0.5439533436
119	0.5427676065
120	0.541881975
121	0.5403339945
122	0.5389805003
123	0.5382558836
124	0.5373470497
125	0.5350599987
126	0.5342824508
127	0.5337308857
128	0.5326156235
129	0.5326138239
130	0.5313703686
131	0.5305263495
132	0.5304367002
133	0.5297590379
134	0.5297570388
135	0.5290408689
136	0.5281394515
137	0.5273607482
138	0.5268387678
139	0.5266450155
140	0.5260886121
141	0.5253031785
142	0.5242952884
143	0.5232811297
144	0.5218845591
145	0.520979983
146	0.5208751823
147	0.5208729836
148	0.5203468685
149	0.5201632478
150	0.5186790975
151	0.5180197604
152	0.516882463
153	0.5161267255
154	0.5161267002
155	0.5155021463
156	0.5146623808
157	0.5137493612
158	0.5136312335
159	0.5128960692
160	0.5114450908
161	0.5110281287
162	0.5102399887
163	0.5090547863
164	0.5085856596
165	0.5085299879
166	0.5076206409
167	0.5070902753
168	0.5056695587
169	0.5051804095
170	0.5046718663
171	0.5032649592
172	0.5028193269
173	0.5019466163
174	0.5015414714
175	0.5010549598
176	0.5009745417
177	0.5009226761
178	0.5006019444
179	0.5004978189
180	0.5004956057
181	0.5004096853
182	0.4996569313
183	0.4994246139
184	0.4987245571
185	0.4983146837
186	0.4983132153
187	0.4975300079
188	0.497259579
189	0.4970115867
190	0.4969422515
191	0.4968834492
192	0.4968694292
193	0.4964467334
194	0.4963745527
195	0.4962112179
196	0.4958612342
197	0.495799023
198	0.4957446372
199	0.4953841174
200	0.495048101
201	0.4946475257
202	0.4944755084
203	0.4934760693
204	0.4932069007
205	0.4931288265
206	0.492697705
207	0.492301455
208	0.4922906071
209	0.4922094645
210	0.4921188278
211	0.4920769194
212	0.4914135358
213	0.4906099946
214	0.489910613
215	0.4896679375
216	0.489368382
217	0.4890244199
218	0.4886052751
219	0.4883932654
220	0.4877578074
221	0.4875073401
222	0.4871172576
223	0.4864595909
224	0.4856252521
225	0.4852460564
226	0.4841215102
227	0.4834877921
228	0.4831081526
229	0.4828720889
230	0.4825476105
231	0.4823649497
232	0.4814741266
233	0.4811013428
234	0.4810522032
235	0.481049514
236	0.480778041
237	0.4805461555
238	0.4801833062
239	0.4795847447
240	0.4793989791
241	0.479129196
242	0.4786866891
243	0.4779920801
244	0.4775881345
245	0.476871761
246	0.4764494863
247	0.4756423117
248	0.4748527031
249	0.4741016372
250	0.4737168427
251	0.4732899641
252	0.4729320526
253	0.4725649226
254	0.4720497948
255	0.4714983486
256	0.4714055353
257	0.4712780003
258	0.4703765102
259	0.4697832098
260	0.469482927
261	0.4693239118
262	0.4687578722
263	0.4684826161
264	0.4681445068
265	0.4676560995
266	0.4671035427
267	0.4666806118
268	0.466559108
269	0.4661252357
270	0.4658406359
271	0.4655131901
272	0.4649890376
273	0.4645778356
274	0.4638073207
275	0.4634477439
276	0.4632339047
277	0.4629896657
278	0.4625366854
279	0.462188483
280	0.4616949235
281	0.4612915011
282	0.4610232533
283	0.4606780069
284	0.4601877369
285	0.4597371161
286	0.459342351
287	0.4589422848
288	0.4582450422
289	0.4578668614
290	0.4574687391
291	0.4570968735
292	0.45697452
293	0.4567903769
294	0.4562209366
295	0.4559825164
296	0.4556807043
297	0.4556237132
298	0.4549943109
299	0.4545289698
300	0.4540492041
301	0.45336704
302	0.4533595967
303	0.4530438726
304	0.4525360904
305	0.4518698577
306	0.4511930125
307	0.450546474
308	0.4502295878
309	0.4496821738
310	0.4491097016
311	0.4486166891
312	0.4485050826
313	0.447999412
314	0.4478507702
315	0.4472807411
316	0.4469448969
317	0.4464073999
318	0.4462205121
319	0.4456601288
320	0.4453792457
321	0.4452101262
322	0.4448372441
