iter	Passed	Remaining
0	200	99949
1	238	59471
2	267	44266
3	305	37826
4	325	32270
5	342	28180
6	357	25182
7	396	24369
8	425	23219
9	441	21630
10	468	20848
11	502	20451
12	537	20137
13	554	19248
14	591	19129
15	626	18955
16	660	18779
17	697	18668
18	717	18166
19	746	17926
20	781	17818
21	816	17741
22	853	17701
23	888	17630
24	926	17596
25	961	17536
26	997	17467
27	1033	17428
28	1070	17386
29	1108	17371
30	1144	17322
31	1181	17282
32	1228	17379
33	1265	17343
34	1302	17301
35	1339	17268
36	1378	17255
37	1415	17210
38	1455	17207
39	1492	17164
40	1529	17126
41	1565	17072
42	1604	17057
43	1641	17007
44	1677	16964
45	1713	16907
46	1750	16872
47	1787	16833
48	1824	16791
49	1859	16733
50	1895	16689
51	1930	16635
52	1968	16598
53	2004	16553
54	2042	16526
55	2080	16495
56	2121	16486
57	2159	16458
58	2195	16407
59	2233	16380
60	2266	16313
61	2304	16277
62	2341	16241
63	2367	16131
64	2404	16093
65	2443	16070
66	2480	16027
67	2517	15992
68	2554	15956
69	2590	15914
70	2628	15882
71	2663	15833
72	2701	15800
73	2740	15775
74	2778	15743
75	2814	15700
76	2856	15692
77	2897	15677
78	2935	15641
79	2974	15615
80	3010	15571
81	3046	15532
82	3082	15487
83	3120	15452
84	3133	15300
85	3169	15257
86	3210	15240
87	3219	15073
88	3227	14903
89	3262	14862
90	3299	14830
91	3336	14795
92	3371	14755
93	3408	14720
94	3444	14683
95	3480	14648
96	3519	14621
97	3554	14581
98	3590	14542
99	3627	14509
100	3664	14474
101	3700	14439
102	3736	14403
103	3774	14372
104	3812	14341
105	3846	14297
106	3875	14234
107	3909	14190
108	3946	14156
109	3982	14118
110	4019	14087
111	4055	14049
112	4090	14008
113	4126	13973
114	4161	13933
115	4198	13897
116	4233	13859
117	4268	13819
118	4306	13787
119	4343	13754
120	4379	13716
121	4419	13694
122	4456	13660
123	4490	13617
124	4525	13576
125	4564	13549
126	4601	13513
127	4638	13479
128	4674	13443
129	4683	13330
130	4718	13290
131	4754	13255
132	4767	13154
133	4800	13112
134	4810	13005
135	4846	12972
136	4881	12934
137	4924	12917
138	4998	12981
139	5055	12999
140	5140	13087
141	5192	13092
142	5228	13052
143	5263	13013
144	5304	12985
145	5341	12951
146	5367	12889
147	5375	12785
148	5500	12956
149	5526	12895
150	5565	12863
151	5601	12823
152	5636	12784
153	5671	12741
154	5680	12644
155	5707	12586
156	5744	12550
157	5783	12518
158	5819	12481
159	5855	12443
160	5895	12413
161	5932	12377
162	5969	12342
163	6011	12316
164	6074	12332
165	6103	12281
166	6138	12240
167	6176	12205
168	6210	12164
169	6246	12124
170	6344	12206
171	6392	12190
172	6428	12150
173	6466	12116
174	6506	12082
175	6542	12044
176	6572	11993
177	6588	11917
178	6622	11876
179	6647	11817
180	6656	11731
181	6678	11669
182	6715	11633
183	6752	11596
184	6789	11560
185	6825	11522
186	6836	11442
187	6870	11402
188	6887	11334
189	6921	11292
190	6945	11236
191	6968	11178
192	6988	11116
193	7022	11075
194	7047	11023
195	7082	10984
196	7118	10948
197	7151	10908
198	7186	10869
199	7222	10833
200	7258	10797
201	7295	10762
202	7335	10731
203	7373	10698
204	7407	10660
205	7441	10621
206	7478	10585
207	7514	10548
208	7530	10485
209	7558	10438
210	7590	10397
211	7610	10339
212	7644	10300
213	7679	10262
214	7715	10227
215	7749	10189
216	7787	10155
217	7822	10119
218	7858	10082
219	7893	10046
220	7929	10010
221	7964	9973
222	8000	9937
223	8035	9901
224	8071	9865
225	8110	9833
226	8145	9796
227	8181	9760
228	8217	9725
229	8253	9689
230	8294	9659
231	8334	9627
232	8374	9596
233	8412	9563
234	8439	9517
235	8457	9460
236	8495	9428
237	8533	9394
238	8569	9358
239	8607	9324
240	8651	9297
241	8688	9263
242	8725	9227
243	8760	9191
244	8797	9157
245	8833	9120
246	8869	9084
247	8908	9052
248	8946	9018
249	8986	8986
250	9024	8952
251	9063	8919
252	9097	8882
253	9132	8845
254	9168	8809
255	9204	8773
256	9239	8736
257	9276	8700
258	9312	8665
259	9348	8629
260	9385	8594
261	9422	8559
262	9457	8522
263	9495	8487
264	9532	8452
265	9566	8415
266	9602	8379
267	9638	8343
268	9672	8306
269	9709	8270
270	9750	8239
271	9787	8204
272	9824	8169
273	9859	8132
274	9898	8098
275	9933	8061
276	9968	8025
277	10004	7989
278	10041	7953
279	10076	7917
280	10109	7879
281	10146	7843
282	10181	7807
283	10219	7772
284	10257	7738
285	10295	7703
286	10330	7666
287	10364	7629
288	10398	7592
289	10435	7556
290	10470	7520
291	10506	7484
292	10545	7450
293	10581	7414
294	10614	7376
295	10650	7340
296	10689	7306
297	10742	7281
298	10785	7250
299	10822	7215
300	10858	7179
301	10894	7142
302	10911	7094
303	10946	7057
304	10988	7025
305	11024	6989
306	11059	6952
307	11098	6918
308	11131	6880
309	11166	6843
310	11203	6808
311	11240	6773
312	11276	6737
313	11327	6710
314	11366	6675
315	11401	6638
316	11445	6607
317	11480	6570
318	11515	6533
319	11552	6498
320	11590	6463
321	11625	6426
322	11664	6392
323	11700	6355
324	11739	6321
325	11779	6287
326	11815	6251
327	11855	6217
328	11893	6181
329	11931	6146
330	11969	6111
331	12003	6074
332	12039	6037
333	12075	6001
334	12114	5967
335	12148	5929
336	12184	5893
337	12219	5856
338	12256	5821
339	12292	5784
340	12328	5748
341	12363	5711
342	12400	5675
343	12437	5640
344	12461	5598
345	12495	5561
346	12528	5524
347	12565	5488
348	12601	5452
349	12637	5415
350	12671	5379
351	12708	5343
352	12746	5307
353	12781	5271
354	12816	5235
355	12853	5199
356	12889	5162
357	12923	5126
358	12960	5090
359	12995	5053
360	13030	5017
361	13065	4980
362	13090	4940
363	13126	4904
364	13161	4867
365	13197	4831
366	13232	4795
