iter	RMSE
0	0.7549790049
1	0.7242282713
2	0.6937866493
3	0.6634827027
4	0.6358263035
5	0.6131513671
6	0.587001455
7	0.5631115307
8	0.5472461865
9	0.524595041
10	0.5040352672
11	0.4872116846
12	0.4677379401
13	0.4493476935
14	0.4330757289
15	0.4166334712
16	0.401868238
17	0.386888037
18	0.3735405257
19	0.3601810184
20	0.3485614706
21	0.3378970319
22	0.3270816524
23	0.3167726548
24	0.3071238056
25	0.2987671131
26	0.2904934021
27	0.284505152
28	0.2774983682
29	0.2709840597
30	0.2644966838
31	0.2589653022
32	0.2529572134
33	0.2461892856
34	0.2405437783
35	0.2358852827
36	0.231249983
37	0.2271619231
38	0.2231453068
39	0.2195019609
40	0.216250239
41	0.21228597
42	0.2096171602
43	0.2075597355
44	0.20513349
45	0.2024305726
46	0.1999258231
47	0.1970049391
48	0.1934666697
49	0.1912517375
50	0.1892977017
51	0.1861530047
52	0.1844721826
53	0.182089503
54	0.1791180309
55	0.1766160653
56	0.1753138096
57	0.1726784638
58	0.1705586505
59	0.1687006647
60	0.1676797069
61	0.1667481028
62	0.1649910759
63	0.163615982
64	0.1627611993
65	0.1607636836
66	0.1593121469
67	0.15861233
68	0.1569325093
69	0.1550848742
70	0.1531562005
71	0.1518313696
72	0.150281049
73	0.1491820399
74	0.1478390418
75	0.1456476971
76	0.1431381274
77	0.1419863343
78	0.1416377734
79	0.1405144861
80	0.1390519939
81	0.1372603335
82	0.135383917
83	0.1327405269
84	0.1316685351
85	0.1300498103
86	0.129510145
87	0.1285064003
88	0.1275477503
89	0.1269906238
90	0.1258236063
91	0.1249084935
92	0.1239020314
93	0.1228932114
94	0.1214000813
95	0.1211316188
96	0.1205189203
97	0.119475662
98	0.1179934822
99	0.1175998626
100	0.116102237
101	0.1146302344
102	0.113520795
103	0.1124781842
104	0.1118515368
105	0.1100249885
106	0.1098334647
107	0.1084450082
108	0.1082724489
109	0.1065858993
110	0.10566076
111	0.1055159028
112	0.1046091623
113	0.1038761666
114	0.1027569926
115	0.1019713851
116	0.1010178814
117	0.1004092959
118	0.0998619798
119	0.09886665882
120	0.09799350088
121	0.09697421357
122	0.09638129875
123	0.09623192158
124	0.09471597244
125	0.09408969759
126	0.0939084203
127	0.09185285931
128	0.09119417355
129	0.09047875045
130	0.08895489063
131	0.08815624214
132	0.08734149229
133	0.08636010376
134	0.08531883507
135	0.08518816403
136	0.08451826723
137	0.08386833648
138	0.08332098434
139	0.08249278429
140	0.08145096073
141	0.08095964847
142	0.08071495287
143	0.07994639344
144	0.07921732833
145	0.07903380176
146	0.07830784002
147	0.07726582199
148	0.07659024102
149	0.07595156238
150	0.0754731727
151	0.07477141302
152	0.07375867915
153	0.07266666118
154	0.07218550018
155	0.07170626798
156	0.07066426202
157	0.06995081221
158	0.06929422063
159	0.06867871857
160	0.06807809546
161	0.06739794834
162	0.06673157251
163	0.06604554361
164	0.0658584142
165	0.06534338565
166	0.06481173445
167	0.064061363
168	0.06335755927
169	0.06284836608
170	0.062274737
171	0.06156417857
172	0.06101077754
173	0.0604806915
174	0.05993973624
175	0.05929669889
176	0.05872981228
177	0.05781860859
178	0.05742065659
179	0.05693485941
180	0.05641037558
181	0.05595875385
182	0.05558097225
183	0.0549623215
184	0.05429179462
185	0.05380570461
186	0.053346207
187	0.05297045576
188	0.05249449983
189	0.05202436987
190	0.05151736735
191	0.05113431373
192	0.05069429646
193	0.05006762473
194	0.04963078556
195	0.04917455063
196	0.04875081894
197	0.04828683447
198	0.04795409978
199	0.04751791048
200	0.04711078402
201	0.04679210094
202	0.04654952081
203	0.04622172526
204	0.04572645138
205	0.04523945506
206	0.04501149119
207	0.0446854433
208	0.04432493413
209	0.04372755753
210	0.0431449139
211	0.04293619873
212	0.04250961985
213	0.04224674796
214	0.04190752273
215	0.04159318151
216	0.04127289734
217	0.04098891625
218	0.04068436584
219	0.04036255971
