iter	Passed	Remaining
0	165	82618
1	195	48725
2	223	37098
3	231	28664
4	240	23774
5	265	21837
6	271	19152
7	280	17274
8	310	16939
9	323	15830
10	332	14788
11	361	14708
12	369	13825
13	376	13057
14	400	12963
15	415	12555
16	434	12355
17	445	11935
18	461	11693
19	475	11403
20	508	11598
21	522	11351
22	534	11080
23	541	10734
24	547	10393
25	568	10371
26	606	10631
27	642	10827
28	678	11019
29	694	10888
30	705	10669
31	734	10741
32	746	10561
33	773	10602
34	791	10509
35	803	10352
36	815	10200
37	846	10293
38	875	10350
39	890	10243
40	919	10295
41	951	10381
42	985	10471
43	1014	10515
44	1045	10568
45	1054	10404
46	1065	10270
47	1097	10334
48	1129	10398
49	1161	10454
50	1170	10306
51	1202	10357
52	1210	10212
53	1244	10282
54	1278	10347
55	1311	10398
56	1320	10263
57	1352	10308
58	1385	10359
59	1422	10428
60	1430	10293
61	1437	10154
62	1469	10190
63	1504	10250
64	1517	10156
65	1537	10109
66	1569	10142
67	1580	10042
68	1613	10081
69	1649	10134
70	1682	10163
71	1713	10186
72	1746	10214
73	1778	10238
74	1811	10263
75	1842	10280
76	1875	10300
77	1908	10326
78	1937	10324
79	1967	10327
80	1996	10326
81	2027	10336
82	2060	10354
83	2091	10358
84	2122	10364
85	2155	10378
86	2188	10390
87	2221	10402
88	2253	10408
89	2285	10412
90	2310	10386
91	2342	10387
92	2373	10387
93	2405	10390
94	2438	10393
95	2451	10315
96	2478	10298
97	2509	10292
98	2541	10293
99	2572	10288
100	2606	10295
101	2627	10253
102	2658	10246
103	2691	10248
104	2709	10191
105	2738	10177
106	2772	10182
107	2803	10175
108	2821	10121
109	2854	10120
110	2886	10114
111	2904	10060
112	2924	10014
113	2954	10004
114	2988	10005
115	3020	9999
116	3052	9992
117	3084	9985
118	3116	9976
119	3147	9966
120	3178	9954
121	3199	9912
122	3227	9893
123	3251	9860
124	3282	9847
125	3315	9840
126	3333	9789
127	3360	9767
128	3391	9752
129	3425	9749
130	3456	9737
131	3487	9723
132	3518	9710
133	3549	9695
134	3580	9680
135	3591	9612
136	3620	9594
137	3652	9581
138	3686	9573
139	3718	9561
140	3750	9549
141	3782	9534
142	3814	9521
143	3848	9513
144	3882	9504
145	3896	9448
146	3915	9403
147	3945	9383
148	3976	9367
149	4007	9350
150	4037	9332
151	4069	9317
152	4102	9304
153	4133	9286
154	4164	9269
155	4196	9254
156	4229	9240
157	4261	9224
158	4292	9206
159	4324	9190
160	4364	9190
161	4404	9189
162	4440	9181
163	4478	9174
164	4517	9172
165	4556	9168
166	4610	9194
167	4653	9196
168	4699	9204
169	4741	9203
170	4779	9195
171	4816	9184
172	4854	9176
173	4891	9164
174	4929	9154
175	4965	9141
176	5001	9126
177	5037	9112
178	5075	9101
179	5111	9087
180	5148	9073
181	5183	9057
182	5223	9048
183	5263	9040
184	5300	9024
185	5337	9010
186	5370	8988
187	5403	8967
188	5434	8942
189	5466	8919
190	5499	8897
191	5535	8879
192	5574	8866
193	5611	8851
194	5648	8834
195	5684	8816
196	5720	8798
197	5753	8776
198	5785	8751
199	5816	8725
200	5851	8704
201	5886	8683
202	5922	8664
203	5953	8637
204	5983	8611
205	6015	8585
206	6047	8559
207	6082	8538
208	6113	8512
209	6145	8486
210	6182	8468
211	6219	8448
212	6249	8421
213	6281	8394
214	6313	8368
215	6344	8342
216	6376	8315
217	6407	8288
218	6438	8261
219	6470	8235
