What kind of property is this for?,Which best describes your situation?,What kind of work do you need help with?,How big is the area where the work will happen?,What material do you want the patio to be made of?,When would you like the work to start?,Are you interested in hearing about financing options?,Additional Details
,I currently own the property,Build a brand-new patio,Large,"Slabs, Stone, Tiles, I don't know",Within 3 months,,
A house,I currently own the property,Make an existing patio bigger,Small - just enough space for a few chairs,Slabs,Within a month,No,Looking to have some grass removed and the area slabbed. Also need the original patio extended
,I'm renting the property,"Remove and replace a patio, Plan to decide what's best",Medium - space for a table and some chairs,I'd like to talk to a professional about options,Within a month,,
,We're a housing co-operative,We don't know until someone looks at it,"Not sure, it's possibly a bit bigger than medium","I don't know, I'd like to talk to a professional about options",I will need to discuss this with the rest of the co-operative,,Because we are a co-operative we will need to have 3 quotes from different companies. I would also have to arrange you to meet our maintenance man.
,I currently own the property,Build a brand-new patio,Large,Slabs,Within a month,,
,I currently own the property,Install new decking,Medium - space for a table and some chairs,Wood (such as decking),I'm flexible,,Send me quotes
,I currently own the property,Build a brand-new patio,Large,Slabs,Within a month,,"Wanting a patio laid for a summerhouse which is 9"" x9"". Just needs to be basic as base for summerhouse to sit on."
,I currently own the property,"Install new decking, Build a brand-new patio",Medium - space for a table and some chairs,Wood (such as decking),Within a month,No,I would like a quote on a new patio area
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,Slabs,Within 3 months,Yes,
A bungalow,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,Slabs,Immediately,,Hello  I would like a quote for my from garden  it's currently grass but want the grass removed and replaced with  underlay /gravel  or /small stones.
,I'm renting the property,Build a brand-new patio,Medium - space for a table and some chairs,Slabs,Within a week,No,Phone call
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"Concrete, Slabs",Within a month,,"We're looking to have an area that is currently an old border bed, to have patio laid."
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"Wood (such as decking), I'd like to talk to a professional about options",I'm flexible,,replace old decking with wood or composite 7foot x 10foot plus steps/rails
