iter	Passed	Remaining
0	11	5940
1	30	7686
2	38	6444
3	64	8002
4	79	7827
5	86	7085
6	106	7529
7	135	8325
8	145	7952
9	181	8881
10	210	9356
11	225	9174
12	257	9659
13	296	10301
14	330	10695
15	359	10875
16	379	10793
17	408	10947
18	423	10718
19	460	11053
20	473	10800
21	491	10682
22	509	10565
23	520	10315
24	554	10531
25	576	10513
26	610	10690
27	630	10621
28	643	10448
29	659	10325
30	693	10496
31	724	10589
32	736	10425
33	752	10314
34	767	10196
35	799	10300
36	833	10424
37	861	10472
38	889	10512
39	922	10610
40	957	10717
41	981	10704
42	1017	10813
43	1049	10873
44	1078	10907
45	1102	10880
46	1125	10849
47	1160	10930
48	1184	10906
49	1223	11015
50	1255	11057
51	1278	11015
52	1310	11050
53	1320	10909
54	1331	10771
55	1337	10605
56	1351	10500
57	1371	10450
58	1397	10445
59	1423	10441
60	1447	10415
61	1464	10346
62	1474	10225
63	1508	10274
64	1540	10311
65	1569	10317
66	1601	10351
67	1630	10361
68	1658	10362
69	1665	10233
70	1693	10234
71	1707	10152
72	1728	10108
73	1758	10123
74	1772	10046
75	1799	10041
76	1833	10070
77	1855	10039
78	1868	9955
79	1895	9952
80	1926	9964
81	1958	9984
82	1975	9924
83	1999	9899
84	2021	9871
85	2040	9823
86	2046	9715
87	2074	9710
88	2090	9653
89	2108	9604
90	2137	9605
91	2149	9534
92	2178	9532
93	2197	9492
94	2228	9499
95	2258	9503
96	2278	9465
97	2306	9462
98	2327	9427
99	2346	9387
100	2353	9298
101	2380	9289
102	2402	9261
103	2426	9240
104	2455	9235
105	2483	9231
106	2513	9231
107	2529	9180
108	2559	9181
109	2591	9186
110	2623	9193
111	2642	9154
112	2669	9143
113	2685	9094
114	2716	9092
115	2746	9092
116	2778	9093
117	2814	9112
118	2842	9100
119	2873	9099
120	2887	9044
121	2902	8992
122	2929	8980
123	2937	8906
124	2964	8894
125	2992	8882
126	3028	8893
127	3064	8906
128	3096	8905
129	3128	8903
130	3160	8901
131	3191	8897
132	3223	8895
133	3231	8827
134	3266	8832
135	3299	8830
136	3308	8765
137	3347	8781
138	3385	8792
139	3421	8798
140	3473	8843
141	3503	8832
142	3538	8832
143	3574	8837
144	3616	8854
145	3625	8790
146	3653	8773
147	3686	8767
148	3718	8759
149	3726	8694
150	3748	8662
151	3784	8663
152	3819	8662
153	3844	8637
154	3873	8622
155	3905	8611
156	3938	8604
157	3969	8592
158	3994	8567
159	4028	8560
160	4049	8525
161	4076	8505
162	4117	8512
163	4158	8520
164	4188	8504
165	4216	8484
166	4235	8446
167	4265	8429
168	4296	8414
169	4325	8397
170	4355	8380
171	4384	8360
172	4412	8340
173	4442	8322
174	4462	8287
175	4481	8249
176	4508	8226
177	4553	8237
178	4593	8238
179	4630	8231
180	4668	8228
181	4699	8211
182	4729	8191
183	4758	8171
184	4792	8160
185	4824	8145
186	4862	8138
187	4891	8117
188	4919	8095
189	4947	8072
190	4975	8049
191	5004	8028
192	5039	8015
193	5079	8012
194	5132	8027
195	5167	8014
196	5198	7995
197	5218	7959
198	5246	7935
199	5277	7915
200	5309	7897
201	5340	7878
202	5369	7855
203	5397	7832
204	5428	7811
205	5457	7788
206	5476	7751
207	5504	7726
208	5526	7695
209	5555	7672
210	5590	7656
211	5622	7638
212	5667	7636
213	5700	7618
214	5772	7651
215	5819	7651
216	5849	7628
217	5881	7608
218	5902	7573
219	5931	7548
220	5958	7522
221	5987	7497
222	6015	7472
223	6044	7447
224	6059	7406
225	6077	7368
226	6105	7342
227	6138	7322
228	6172	7304
229	6217	7299
230	6244	7271
231	6266	7238
232	6292	7210
233	6329	7194
234	6360	7172
235	6389	7147
236	6407	7110
237	6435	7084
238	6455	7049
239	6485	7026
240	6513	7000
241	6545	6978
242	6574	6953
243	6603	6928
244	6634	6905
245	6671	6888
246	6716	6879
247	6764	6873
248	6806	6861
249	6842	6842
250	6872	6818
251	6902	6792
252	6932	6767
253	6960	6741
254	6990	6716
255	7021	6692
256	7051	6667
257	7078	6639
258	7105	6611
259	7132	6583
260	7161	6558
261	7189	6531
262	7219	6505
263	7259	6489
264	7307	6479
265	7357	6472
266	7394	6452
267	7422	6425
268	7451	6399
269	7482	6373
270	7512	6347
271	7541	6321
272	7570	6294
273	7599	6268
274	7629	6242
275	7656	6214
276	7684	6186
277	7715	6160
278	7743	6133
279	7771	6106
280	7802	6080
281	7834	6056
282	7860	6027
283	7879	5992
284	7906	5964
285	7926	5930
286	7946	5897
287	7974	5870
288	8001	5842
289	8021	5808
290	8047	5779
291	8069	5748
292	8095	5719
293	8125	5693
294	8154	5666
295	8174	5633
296	8192	5599
297	8219	5571
298	8238	5538
299	8267	5511
300	8286	5478
301	8312	5449
